ID,HEMOLITIC CYTOTOXIC ACTIVITY - CONCENTRATION - PROCED
360,6
15,5
488,5
726,5
727,5
5232,5
5233,5
5234,5
496,4
497,4
498,4
606,4
806,4
1469,4
5368,4
2162,3
5135,3
5936,3
9818,3
9819,3
9820,3
9821,3
37,2
107,2
108,2
447,2
615,2
617,2
620,2
734,2
1241,2
1468,2
1783,2
1790,2
1791,2
1792,2
2018,2
2204,2
2255,2
2261,2
2281,2
2285,2
2293,2
2304,2
2369,2
2370,2
3095,2
3099,2
3116,2
3140,2
3157,2
3177,2
3232,2
3287,2
3414,2
3415,2
3417,2
3483,2
3553,2
3615,2
4194,2
4195,2
4405,2
4406,2
4594,2
4867,2
4926,2
5236,2
5417,2
5515,2
5594,2
5623,2
6203,2
6552,2
6703,2
7115,2
8610,2
9004,2
9005,2
9185,2
9824,2
10354,2
10851,2
14668,2
14669,2
14672,2
14673,2
17226,2
